,month,day,year,date,rain,precip_in,precip_m,snow,snow_in,snow_m
138,05,19,2002,"12:00 PM EDT on May 19, 2002",0,0.00,0.00,0,0.00,0.00
139,05,20,2002,"12:00 PM EDT on May 20, 2002",0,0.00,0.00,0,0.00,0.00
140,05,21,2002,"12:00 PM EDT on May 21, 2002",0,0.00,0.00,0,0.00,0.00
141,05,22,2002,"12:00 PM EDT on May 22, 2002",0,0.00,0.00,0,0.00,0.00
142,05,23,2002,"12:00 PM EDT on May 23, 2002",0,0.00,0.00,0,0.00,0.00
143,05,24,2002,"12:00 PM EDT on May 24, 2002",0,0.00,0.00,0,0.00,0.00
144,05,25,2002,"12:00 PM EDT on May 25, 2002",0,0.00,0.00,0,0.00,0.00
145,05,26,2002,"12:00 PM EDT on May 26, 2002",0,0.00,0.00,0,0.00,0.00
146,05,27,2002,"12:00 PM EDT on May 27, 2002",0,0.00,0.00,0,0.00,0.00
147,05,28,2002,"12:00 PM EDT on May 28, 2002",0,0.00,0.00,0,0.00,0.00
148,05,29,2002,"12:00 PM EDT on May 29, 2002",0,0.00,0.00,0,0.00,0.00
149,05,30,2002,"12:00 PM EDT on May 30, 2002",0,0.00,0.00,0,0.00,0.00
150,05,31,2002,"12:00 PM EDT on May 31, 2002",1,0.38,9.65,0,0.00,0.00
151,06,01,2002,"12:00 PM EDT on June 01, 2002",0,0.00,0.00,0,0.00,0.00
152,06,02,2002,"12:00 PM EDT on June 02, 2002",0,0.00,0.00,0,0.00,0.00
153,06,03,2002,"12:00 PM EDT on June 03, 2002",0,0.00,0.00,0,0.00,0.00
154,06,04,2002,"12:00 PM EDT on June 04, 2002",0,0.00,0.00,0,0.00,0.00
155,06,05,2002,"12:00 PM EDT on June 05, 2002",0,0.00,0.00,0,0.00,0.00
156,06,06,2002,"12:00 PM EDT on June 06, 2002",1,1.54,39.12,0,0.00,0.00
157,06,07,2002,"12:00 PM EDT on June 07, 2002",1,0.85,21.59,0,0.00,0.00
158,06,08,2002,"12:00 PM EDT on June 08, 2002",0,0.00,0.00,0,0.00,0.00
159,06,09,2002,"12:00 PM EDT on June 09, 2002",0,0.00,0.00,0,0.00,0.00
160,06,10,2002,"12:00 PM EDT on June 10, 2002",0,0.00,0.00,0,0.00,0.00
161,06,11,2002,"12:00 PM EDT on June 11, 2002",0,0.00,0.00,0,0.00,0.00
162,06,12,2002,"12:00 PM EDT on June 12, 2002",1,0.21,5.33,0,0.00,0.00
163,06,13,2002,"12:00 PM EDT on June 13, 2002",0,0.03,0.76,0,0.00,0.00
164,06,14,2002,"12:00 PM EDT on June 14, 2002",1,0.61,15.49,0,0.00,0.00
165,06,15,2002,"12:00 PM EDT on June 15, 2002",1,0.10,2.54,0,0.00,0.00
166,06,16,2002,"12:00 PM EDT on June 16, 2002",1,0.24,6.10,0,0.00,0.00
167,06,17,2002,"12:00 PM EDT on June 17, 2002",0,0.02,0.51,0,0.00,0.00
168,06,18,2002,"12:00 PM EDT on June 18, 2002",0,0.00,0.00,0,0.00,0.00
169,06,19,2002,"12:00 PM EDT on June 19, 2002",1,0.04,1.02,0,0.00,0.00
170,06,20,2002,"12:00 PM EDT on June 20, 2002",0,0.00,0.00,0,0.00,0.00
171,06,21,2002,"12:00 PM EDT on June 21, 2002",0,0.00,0.00,0,0.00,0.00
172,06,22,2002,"12:00 PM EDT on June 22, 2002",0,0.00,0.00,0,0.00,0.00
173,06,23,2002,"12:00 PM EDT on June 23, 2002",0,0.00,0.00,0,0.00,0.00
174,06,24,2002,"12:00 PM EDT on June 24, 2002",0,0.00,0.00,0,0.00,0.00
175,06,25,2002,"12:00 PM EDT on June 25, 2002",0,0.00,0.00,0,0.00,0.00
176,06,26,2002,"12:00 PM EDT on June 26, 2002",1,0.16,4.06,0,0.00,0.00
177,06,27,2002,"12:00 PM EDT on June 27, 2002",1,0.70,17.78,0,0.00,0.00
178,06,28,2002,"12:00 PM EDT on June 28, 2002",0,0.00,0.00,0,0.00,0.00
179,06,29,2002,"12:00 PM EDT on June 29, 2002",0,0.00,0.00,0,0.00,0.00
180,06,30,2002,"12:00 PM EDT on June 30, 2002",0,0.00,0.00,0,0.00,0.00
181,07,01,2002,"12:00 PM EDT on July 01, 2002",0,0.00,0.00,0,0.00,0.00
182,07,02,2002,"12:00 PM EDT on July 02, 2002",0,0.00,0.00,0,0.00,0.00
183,07,03,2002,"12:00 PM EDT on July 03, 2002",0,0.00,0.00,0,0.00,0.00
184,07,04,2002,"12:00 PM EDT on July 04, 2002",0,0.00,0.00,0,0.00,0.00
185,07,05,2002,"12:00 PM EDT on July 05, 2002",0,0.00,0.00,0,0.00,0.00
186,07,06,2002,"12:00 PM EDT on July 06, 2002",0,0.00,0.00,0,0.00,0.00
187,07,07,2002,"12:00 PM EDT on July 07, 2002",0,0.00,0.00,0,0.00,0.00
188,07,08,2002,"12:00 PM EDT on July 08, 2002",0,0.00,0.00,0,0.00,0.00
189,07,09,2002,"12:00 PM EDT on July 09, 2002",1,0.27,6.86,0,0.00,0.00
190,07,10,2002,"12:00 PM EDT on July 10, 2002",1,0.03,0.76,0,0.00,0.00
191,07,11,2002,"12:00 PM EDT on July 11, 2002",0,0.00,0.00,0,0.00,0.00
192,07,12,2002,"12:00 PM EDT on July 12, 2002",0,0.00,0.00,0,0.00,0.00
193,07,13,2002,"12:00 PM EDT on July 13, 2002",0,0.00,0.00,0,0.00,0.00
194,07,14,2002,"12:00 PM EDT on July 14, 2002",0,0.00,0.00,0,0.00,0.00
195,07,15,2002,"12:00 PM EDT on July 15, 2002",0,0.00,0.00,0,0.00,0.00
196,07,16,2002,"12:00 PM EDT on July 16, 2002",0,0.05,1.27,0,0.00,0.00
197,07,17,2002,"12:00 PM EDT on July 17, 2002",0,0.00,0.00,0,0.00,0.00
198,07,18,2002,"12:00 PM EDT on July 18, 2002",0,0.01,0.25,0,0.00,0.00
199,07,19,2002,"12:00 PM EDT on July 19, 2002",1,0.63,16.00,0,0.00,0.00
200,07,20,2002,"12:00 PM EDT on July 20, 2002",0,0.00,0.00,0,0.00,0.00
201,07,21,2002,"12:00 PM EDT on July 21, 2002",0,0.00,0.00,0,0.00,0.00
202,07,22,2002,"12:00 PM EDT on July 22, 2002",0,0.00,0.00,0,0.00,0.00
203,07,23,2002,"12:00 PM EDT on July 23, 2002",1,0.07,1.78,0,0.00,0.00
204,07,24,2002,"12:00 PM EDT on July 24, 2002",0,0.00,0.00,0,0.00,0.00
205,07,25,2002,"12:00 PM EDT on July 25, 2002",0,0.00,0.00,0,0.00,0.00
206,07,26,2002,"12:00 PM EDT on July 26, 2002",0,0.00,0.00,0,0.00,0.00
207,07,27,2002,"12:00 PM EDT on July 27, 2002",0,0.00,0.00,0,0.00,0.00
208,07,28,2002,"12:00 PM EDT on July 28, 2002",0,0.00,0.00,0,0.00,0.00
209,07,29,2002,"12:00 PM EDT on July 29, 2002",0,0.00,0.00,0,0.00,0.00
210,07,30,2002,"12:00 PM EDT on July 30, 2002",0,0.00,0.00,0,0.00,0.00
211,07,31,2002,"12:00 PM EDT on July 31, 2002",0,0.00,0.00,0,0.00,0.00
212,08,01,2002,"12:00 PM EDT on August 01, 2002",0,0.00,0.00,0,0.00,0.00
213,08,02,2002,"12:00 PM EDT on August 02, 2002",1,0.70,17.78,0,0.00,0.00
214,08,03,2002,"12:00 PM EDT on August 03, 2002",0,0.00,0.00,0,0.00,0.00
215,08,04,2002,"12:00 PM EDT on August 04, 2002",0,0.00,0.00,0,0.00,0.00
216,08,05,2002,"12:00 PM EDT on August 05, 2002",1,0.00,0.00,0,0.00,0.00
217,08,06,2002,"12:00 PM EDT on August 06, 2002",0,0.00,0.00,0,0.00,0.00
218,08,07,2002,"12:00 PM EDT on August 07, 2002",0,0.00,0.00,0,0.00,0.00
219,08,08,2002,"12:00 PM EDT on August 08, 2002",0,0.00,0.00,0,0.00,0.00
220,08,09,2002,"12:00 PM EDT on August 09, 2002",0,0.00,0.00,0,0.00,0.00
221,08,10,2002,"12:00 PM EDT on August 10, 2002",0,0.00,0.00,0,0.00,0.00
222,08,11,2002,"12:00 PM EDT on August 11, 2002",0,0.00,0.00,0,0.00,0.00
223,08,12,2002,"12:00 PM EDT on August 12, 2002",0,0.00,0.00,0,0.00,0.00
224,08,13,2002,"12:00 PM EDT on August 13, 2002",0,0.00,0.00,0,0.00,0.00
225,08,14,2002,"12:00 PM EDT on August 14, 2002",0,0.00,0.00,0,0.00,0.00
226,08,15,2002,"12:00 PM EDT on August 15, 2002",0,0.00,0.00,0,0.00,0.00
227,08,16,2002,"12:00 PM EDT on August 16, 2002",1,0.15,3.81,0,0.00,0.00
228,08,17,2002,"12:00 PM EDT on August 17, 2002",0,0.19,4.83,0,0.00,0.00
229,08,18,2002,"12:00 PM EDT on August 18, 2002",0,0.00,0.00,0,0.00,0.00
230,08,19,2002,"12:00 PM EDT on August 19, 2002",0,0.00,0.00,0,0.00,0.00
231,08,20,2002,"12:00 PM EDT on August 20, 2002",1,0.57,14.48,0,0.00,0.00
232,08,21,2002,"12:00 PM EDT on August 21, 2002",0,0.00,0.00,0,0.00,0.00
233,08,22,2002,"12:00 PM EDT on August 22, 2002",1,0.16,4.06,0,0.00,0.00
234,08,23,2002,"12:00 PM EDT on August 23, 2002",0,0.00,0.00,0,0.00,0.00
235,08,24,2002,"12:00 PM EDT on August 24, 2002",1,0.38,9.65,0,0.00,0.00
236,08,25,2002,"12:00 PM EDT on August 25, 2002",0,0.00,0.00,0,0.00,0.00
237,08,26,2002,"12:00 PM EDT on August 26, 2002",0,0.00,0.00,0,0.00,0.00
238,08,27,2002,"12:00 PM EDT on August 27, 2002",0,0.00,0.00,0,0.00,0.00
239,08,28,2002,"12:00 PM EDT on August 28, 2002",1,0.03,0.76,0,0.00,0.00
240,08,29,2002,"12:00 PM EDT on August 29, 2002",1,2.69,68.33,0,0.00,0.00
241,08,30,2002,"12:00 PM EDT on August 30, 2002",0,0.01,0.25,0,0.00,0.00
242,08,31,2002,"12:00 PM EDT on August 31, 2002",0,0.00,0.00,0,0.00,0.00
243,09,01,2002,"12:00 PM EDT on September 01, 2002",1,0.17,4.32,0,0.00,0.00
244,09,02,2002,"12:00 PM EDT on September 02, 2002",1,1.75,44.45,0,0.00,0.00
245,09,03,2002,"12:00 PM EDT on September 03, 2002",0,0.00,0.00,0,0.00,0.00
246,09,04,2002,"12:00 PM EDT on September 04, 2002",0,0.00,0.00,0,0.00,0.00
247,09,05,2002,"12:00 PM EDT on September 05, 2002",0,0.00,0.00,0,0.00,0.00
248,09,06,2002,"12:00 PM EDT on September 06, 2002",0,0.00,0.00,0,0.00,0.00
249,09,07,2002,"12:00 PM EDT on September 07, 2002",0,0.00,0.00,0,0.00,0.00
250,09,08,2002,"12:00 PM EDT on September 08, 2002",0,0.00,0.00,0,0.00,0.00
251,09,09,2002,"12:00 PM EDT on September 09, 2002",0,0.00,0.00,0,0.00,0.00
252,09,10,2002,"12:00 PM EDT on September 10, 2002",0,0.00,0.00,0,0.00,0.00
253,09,11,2002,"12:00 PM EDT on September 11, 2002",0,0.00,0.00,0,0.00,0.00
254,09,12,2002,"12:00 PM EDT on September 12, 2002",0,0.00,0.00,0,0.00,0.00
255,09,13,2002,"12:00 PM EDT on September 13, 2002",0,0.00,0.00,0,0.00,0.00
256,09,14,2002,"12:00 PM EDT on September 14, 2002",0,0.00,0.00,0,0.00,0.00
257,09,15,2002,"12:00 PM EDT on September 15, 2002",1,0.59,14.99,0,0.00,0.00
258,09,16,2002,"12:00 PM EDT on September 16, 2002",1,0.37,9.40,0,0.00,0.00
259,09,17,2002,"12:00 PM EDT on September 17, 2002",0,0.00,0.00,0,0.00,0.00
260,09,18,2002,"12:00 PM EDT on September 18, 2002",0,0.00,0.00,0,0.00,0.00
261,09,19,2002,"12:00 PM EDT on September 19, 2002",0,0.00,0.00,0,0.00,0.00
262,09,20,2002,"12:00 PM EDT on September 20, 2002",0,0.00,0.00,0,0.00,0.00
263,09,21,2002,"12:00 PM EDT on September 21, 2002",0,0.00,0.00,0,0.00,0.00
264,09,22,2002,"12:00 PM EDT on September 22, 2002",0,0.00,0.00,0,0.00,0.00
265,09,23,2002,"12:00 PM EDT on September 23, 2002",1,0.00,0.00,0,0.00,0.00
266,09,24,2002,"12:00 PM EDT on September 24, 2002",0,0.00,0.00,0,0.00,0.00
267,09,25,2002,"12:00 PM EDT on September 25, 2002",0,0.00,0.00,0,0.00,0.00
268,09,26,2002,"12:00 PM EDT on September 26, 2002",1,0.83,21.08,0,0.00,0.00
269,09,27,2002,"12:00 PM EDT on September 27, 2002",1,1.28,32.51,0,0.00,0.00
270,09,28,2002,"12:00 PM EDT on September 28, 2002",1,0.17,4.32,0,0.00,0.00
271,09,29,2002,"12:00 PM EDT on September 29, 2002",0,0.00,0.00,0,0.00,0.00
272,09,30,2002,"12:00 PM EDT on September 30, 2002",0,0.00,0.00,0,0.00,0.00
273,10,01,2002,"12:00 PM EDT on October 01, 2002",0,0.00,0.00,0,0.00,0.00
274,10,02,2002,"12:00 PM EDT on October 02, 2002",0,0.00,0.00,0,0.00,0.00
275,10,03,2002,"12:00 PM EDT on October 03, 2002",1,0.07,1.78,0,0.00,0.00
276,10,04,2002,"12:00 PM EDT on October 04, 2002",1,0.05,1.27,0,0.00,0.00
277,10,05,2002,"12:00 PM EDT on October 05, 2002",1,0.06,1.52,0,0.00,0.00
278,10,06,2002,"12:00 PM EDT on October 06, 2002",0,0.00,0.00,0,0.00,0.00
279,10,07,2002,"12:00 PM EDT on October 07, 2002",0,0.00,0.00,0,0.00,0.00
280,10,08,2002,"12:00 PM EDT on October 08, 2002",0,0.00,0.00,0,0.00,0.00
281,10,09,2002,"12:00 PM EDT on October 09, 2002",0,0.00,0.00,0,0.00,0.00
282,10,10,2002,"12:00 PM EDT on October 10, 2002",1,0.15,3.81,0,0.00,0.00
283,10,11,2002,"12:00 PM EDT on October 11, 2002",1,2.64,67.06,0,0.00,0.00
284,10,12,2002,"12:00 PM EDT on October 12, 2002",1,1.73,43.94,0,0.00,0.00
285,10,13,2002,"12:00 PM EDT on October 13, 2002",0,0.07,1.78,0,0.00,0.00
286,10,14,2002,"12:00 PM EDT on October 14, 2002",0,0.00,0.00,0,0.00,0.00
287,10,15,2002,"12:00 PM EDT on October 15, 2002",0,0.00,0.00,0,0.00,0.00
288,10,16,2002,"12:00 PM EDT on October 16, 2002",1,1.24,31.50,0,0.00,0.00
289,10,17,2002,"12:00 PM EDT on October 17, 2002",0,0.04,1.02,0,0.00,0.00
290,10,18,2002,"12:00 PM EDT on October 18, 2002",0,0.00,0.00,0,0.00,0.00
291,10,19,2002,"12:00 PM EDT on October 19, 2002",0,0.00,0.00,0,0.00,0.00
